id,gid,code_zone,zone,date,date_dif,code_pol,polluant,etat,niveau,com_court,commentaire,OBJECTID,SHAPE__Area,SHAPE__Length
108,108,2018,Puy-de-Dôme,2025-03-02,2025-03-01,5,Particules PM10,ALERTE SUR PERSISTANCE,#FFCE19,"Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu","Dimanche 14 janvier 2024, les conditions atmosphériques auront peu évolué avec la persistance de l'inversion de température. L'épisode en cours devrait atteindre son maximum d'intensité avec une augmentation des niveaux et une extension géographiqu",108,16418574390.5728,676127.767219245
109,109,2017,Haute-Loire,2025-02-05,2025-02-04,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,109,10065814383.6129,602626.69365192
110,110,2017,Haute-Loire,2025-01-27,2025-01-26,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,110,10065814383.6129,602626.69365192
111,111,2017,Haute-Loire,2025-03-28,2025-03-27,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,111,10065814383.6129,602626.69365192
112,112,2017,Haute-Loire,2025-03-24,2025-03-23,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,112,10065814383.6129,602626.69365192
113,113,2017,Haute-Loire,2025-01-15,2025-01-14,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,113,10065814383.6129,602626.69365192
114,114,2017,Haute-Loire,2025-04-07,2025-04-06,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,114,10065814383.6129,602626.69365192
115,115,2019,Cantal,2025-01-20,2025-01-19,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,115,11553081647.4812,681939.649883399
116,116,2019,Cantal,2025-02-05,2025-02-04,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,116,11553081647.4812,681939.649883399
117,117,2019,Cantal,2025-03-06,2025-03-05,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,117,11553081647.4812,681939.649883399
118,118,2019,Cantal,2025-03-21,2025-03-20,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,118,11553081647.4812,681939.649883399
119,119,2019,Cantal,2025-04-07,2025-04-06,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,119,11553081647.4812,681939.649883399
120,120,2019,Cantal,2025-01-28,2025-01-27,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,120,11553081647.4812,681939.649883399
121,121,2020,Allier,2025-01-20,2025-01-19,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,121,15511892321.8704,726675.483949669
122,122,2020,Allier,2025-02-06,2025-02-05,8,Dioxyde d'azote,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,122,15511892321.8704,726675.483949669
123,123,2020,Allier,2025-03-30,2025-03-29,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,123,15511892321.8704,726675.483949669
124,124,2020,Allier,2025-04-06,2025-04-05,7,Ozone,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,124,15511892321.8704,726675.483949669
125,125,2020,Allier,2025-03-05,2025-03-04,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,125,15511892321.8704,726675.483949669
126,126,2020,Allier,2025-01-27,2025-01-26,5,Particules PM10,PAS DE DEPASSEMENT,#19FF19,aucun,aucun,126,15511892321.8704,726675.483949669
