code_insee_commune,axe,x_deb,y_deb,x_fin,y_fin,longueur,code_traficolor
733131555.0,A62,575700.0,6284307.0,576643.6,6283930.5,965,TO31
237676540.0,N28,564943.25,6930978.5,564822.3,6932085.0,954,RO76
237676540.0,N28,564930.56,6930977.5,564815.44,6932096.5,971,RO76
931313005.0,A501,907578.3,6247151.5,907578.3,6247151.5,501,MA13
931313055.0,A55,888955.0,6254734.0,888955.0,6254734.0,502,MA13
733131149.0,N124,566738.06,6280029.5,565808.1,6279947.5,779,TO31
524444109.0,N844,350784.56,6687708.0,350784.56,6687708.0,449,NA44
733131149.0,N124,566737.0,6280038.0,565817.2,6279966.0,775,TO31
931313055.0,A50,895313.0,6245771.5,895313.0,6245771.5,500,MA13
931313071.0,A551,885675.0,6259081.0,885675.0,6259081.0,505,MA13
723333192.0,A630,414355.84,6416625.0,415961.1,6415981.0,854,BX33
723333192.0,A630,414355.6,6416628.5,415312.4,6416399.5,708,BX33
733131555.0,A62,574714.06,6284304.5,575700.0,6284307.0,1164,TO31
723333065.0,N230,421754.22,6419426.0,422504.88,6420039.0,800,BX33
723333065.0,N230,421766.97,6419422.5,422514.56,6420030.0,799,BX33
931313055.0,A507,896873.44,6247927.0,896873.44,6247927.0,631,MA13
733131555.0,A62,574718.4,6284285.0,575698.0,6284274.5,1156,TO31
237676540.0,N28,564996.0,6928900.0,565437.56,6929966.5,865,RO76
931313005.0,A501,907578.3,6247151.5,907578.3,6247151.5,501,MA13
237676540.0,N28,564985.0,6928953.0,565427.5,6929973.0,865,RO76
931313071.0,A55,888158.0,6255320.0,887754.0,6256231.0,500,MA13
524444162.0,N844,350209.28,6688504.5,350209.28,6688504.5,181,NA44
524444162.0,N844,350202.6,6688497.5,350202.6,6688497.5,290,NA44
415757474.0,A31,931245.9,6911336.0,930874.25,6913297.0,2792,ME57
733131555.0,A62,573747.3,6284537.0,574718.4,6284285.0,900,TO31
415757474.0,A31,931273.8,6911336.5,930900.6,6914291.5,2793,ME57
733131555.0,A62,573756.3,6284560.5,574714.06,6284304.5,898,TO31
723333167.0,N230,423273.97,6420643.5,423407.3,6421573.5,1155,BX33
723333167.0,N230,423284.94,6420635.5,423420.25,6421577.0,1160,BX33
931313071.0,A55,888158.0,6255320.0,888158.0,6255320.0,410,MA13
524444172.0,N844,361174.47,6691485.5,361174.47,6691485.5,452,NA44
524444172.0,N844,361156.38,6691475.0,361156.38,6691475.0,671,NA44
415757212.0,A31,927714.8,6885407.0,926923.75,6891265.0,5106,ME57
415757212.0,A31,927740.56,6885411.5,926946.75,6891277.0,5101,ME57
733131555.0,A62,573149.25,6285295.5,573747.3,6284537.0,911,TO31
733131555.0,A62,573168.75,6285301.5,573756.3,6284560.5,904,TO31
931313005.0,A501,908176.9,6247942.0,908176.9,6247942.0,17,MA13
931313005.0,A50,908761.44,6246264.5,908761.44,6246264.5,4,MA13
